Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	C10_A1_1	SVEC_A1_1	SVEC_A1_2	C10_A1_2	Control_A1	SVEC_A1_3	SVEC_A1_4	C10_A1_3	C10_A1_4	C10_A2_1	SVEC_A2_1	SVEC_A2_2	C10_A2_2	Control_A2	SVEC_A2_3	SVEC_A2_4	C10_A2_3	C10_A2_4	C10_B1_1	SVEC_B1_1	SVEC_B1_2	C10_B1_2	Control_B1	SVEC_B1_3	SVEC_B1_4	C10_B1_3	C10_B1_4	C10_B2_1	SVEC_B2_1	SVEC_B2_2	C10_B2_2	Control_B2	SVEC_B2_3	SVEC_B2_4	C10_B2_3	C10_B2_4	C10_C1_1	SVEC_C1_1	SVEC_C1_2	C10_C1_2	Control_C1	SVEC_C1_3	SVEC_C1_4	C10_C1_3	C10_C1_4	C10_C2_1	SVEC_C2_1	SVEC_C2_2	C10_C2_2	Control_C2	SVEC_C2_3	SVEC_C2_4	C10_C2_3	C10_C2_4	C10_A3_1	SVEC_A3_1	SVEC_A3_2	C10_A3_2	Control_A3	SVEC_A3_3	SVEC_A3_4	C10_A3_3	C10_A3_4	C10_A4_1	SVEC_A4_1	SVEC_A4_2	C10_A4_2	Control_A4	SVEC_A4_3	SVEC_A4_4	C10_A4_3	C10_A4_4	C10_B3_1	SVEC_B3_1	SVEC_B3_2	C10_B3_2	Control_B3	SVEC_B3_3	SVEC_B3_4	C10_B3_3	C10_B3_4	C10_B4_1	SVEC_B4_1	SVEC_B4_2	C10_B4_2	Control_B4	SVEC_B4_3	SVEC_B4_4	C10_B4_3	C10_B4_4	C10_C3_1	SVEC_C3_1	SVEC_C3_2	C10_C3_2	Control_C3	SVEC_C3_3	SVEC_C3_4	C10_C3_3	C10_C3_4	C10_C4_1	SVEC_C4_1	SVEC_C4_2	C10_C4_2	Control_C4	SVEC_C4_3	SVEC_C4_4	C10_C4_3	C10_C4_4	C10_A5_1	SVEC_A5_1	SVEC_A5_2	C10_A5_2	Control_A5	SVEC_A5_3	SVEC_A5_4	C10_A5_3	C10_A5_4	C10_A6_1	SVEC_A6_1	SVEC_A6_2	C10_A6_2	Control_A6	SVEC_A6_3	SVEC_A6_4	C10_A6_3	C10_A6_4	C10_B5_1	SVEC_B5_1	SVEC_B5_2	C10_B5_2	Control_B5	SVEC_B5_3	SVEC_B5_4	C10_B5_3	C10_B5_4	C10_B6_1	SVEC_B6_1	SVEC_B6_2	C10_B6_2	Control_B6	SVEC_B6_3	SVEC_B6_4	C10_B6_3	C10_B6_4	C10_C5_1	SVEC_C5_1	SVEC_C5_2	C10_C5_2	Control_C5	SVEC_C5_3	SVEC_C5_4	C10_C5_3	C10_C5_4	C10_C6_1	SVEC_C6_1	SVEC_C6_2	C10_C6_2	Control_C6	SVEC_C6_3	SVEC_C6_4	C10_C6_3	C10_C6_4	C10_A7_1	SVEC_A7_1	SVEC_A7_2	C10_A7_2	Control_A7	SVEC_A7_3	SVEC_A7_4	C10_A7_3	C10_A7_4	C10_A8_1	SVEC_A8_1	SVEC_A8_2	C10_A8_2	Control_A8	SVEC_A8_3	SVEC_A8_4	C10_A8_3	C10_A8_4	C10_B7_1	SVEC_B7_1	SVEC_B7_2	C10_B7_2	Control_B7	SVEC_B7_3	SVEC_B7_4	C10_B7_3	C10_B7_4	C10_B8_1	SVEC_B8_1	SVEC_B8_2	C10_B8_2	Control_B8	SVEC_B8_3	SVEC_B8_4	C10_B8_3	C10_B8_4	C10_C7_1	SVEC_C7_1	SVEC_C7_2	C10_C7_2	Control_C7	SVEC_C7_3	SVEC_C7_4	C10_C7_3	C10_C7_4	C10_C8_1	SVEC_C8_1	SVEC_C8_2	C10_C8_2	Control_C8	SVEC_C8_3	SVEC_C8_4	C10_C8_3	C10_C8_4	Contaminants	no cut-off	30% cut-off	50% cut-off	70% cut-off
Q8BGQ7	152	Aars1	1	23.48897677	23.8645533	24.04419996	24.34555853	NA	NA	23.50544439	24.18660932	23.27384481	23.42033734	24.56472733	24.39221341	24.57268398	23.85552361	23.54409055	23.39915081	23.80047504	23.89887519	22.78681499	NA	23.96536975	23.04272715	23.66284452	NA	23.92455752	24.41093283	23.81112026	23.65405807	23.20210599	23.87245758	23.75511151	23.92541214	23.562018	23.67031986	23.31477234	23.63029315	23.49340508	23.46747625	23.9921096	23.66108113	NA	24.09223839	23.65693062	24.10300376	24.00042825	23.56058251	23.14872948	23.19656585	23.70935351	23.34399989	NA	23.59886467	23.52413354	23.48600067	23.55518377	22.26710406	23.89670684	23.94019891	23.11161511	NA	24.06653269	22.67703941	24.7791261	23.39493358	23.75616857	24.17182823	23.77043754	24.21262378	24.16428538	23.80918655	23.57070253	23.83189003	23.94187046	23.40056889	23.61430429	23.36066025	NA	23.69976287	23.52115927	23.45053171	23.48767869	22.97101414	23.73468358	23.90335713	24.42807012	24.356159	23.48553803	23.65776348	24.06810503	23.53874015	23.72363877	23.56950425	23.90528911	23.53595008	23.94435795	NA	24.24864142	24.43421583	23.68527228	22.82862535	24.25740007	23.48087587	23.56356945	23.95679964	NA	23.37368391	23.80780537	23.95258354	24.03465558	24.16427277	24.0398273	23.92228857	24.86634667	24.99647111	23.49771711	24.07456444	23.07198924	24.42305079	23.85208168	23.27083504	23.78133239	23.49506057	23.61924938	23.77126168	23.76832463	23.44021438	23.31769774	23.73738161	22.87160967	NA	23.93208448	24.04160056	22.78459021	23.72519652	22.0905685	23.6183124	22.59126792	23.0601503	24.11957603	22.96424182	23.55638381	22.30562873	23.52905062	22.9183234	23.32851656	23.89274325	23.47234097	23.41830013	23.66138292	23.84420019	24.69492293	24.30092599	24.2236481	23.5219772	22.68657879	23.42574235	23.74268253	24.13348613	NA	22.51918149	23.29698181	22.9906974	23.65614554	23.23074178	24.09698746	23.69821995	23.55980806	23.79511869	23.42718405	24.04885149	23.45216411	23.81502465	22.98191888	23.51688687	23.35513082	24.0496301	23.54171785	22.97117544	22.78762543	23.51888972	22.99011129	23.44384795	23.74126903	23.56396181	24.11281009	24.05428837	23.4307327	23.69847185	23.59231	24.26356704	23.78956875	23.57949171	24.10245323	23.9215087	23.96188808	22.72164888	23.54789009	23.8026478	23.1992089	24.47540065	24.6155809	23.53006043	24.84148731	24.31398979	23.89509155	24.55167509	25.16425799	24.05921046	23.75559252	23.97924704	23.50181266	24.61568538	NA	23.17548612	23.82420289	24.45948495	NA		Aars1	Aars1	Aars1	Aars1
P61222	45	Abce1	1	21.11443848	21.02117799	21.1398333	21.40304319	NA	NA	21.46297365	21.29542462	21.22047631	21.37440546	20.93504779	21.5144533	NA	NA	NA	21.77504447	NA	21.69228075	21.2543474	NA	21.52222047	21.87538125	21.88371708	NA	21.29334908	21.68421588	21.83768213	21.47694002	20.53543738	21.94807323	21.19580716	NA	NA	22.00314909	20.44214634	20.61825537	21.17237703	21.38588233	NA	NA	NA	NA	21.46263718	21.35589953	21.33558419	21.17265453	20.77838406	21.06476691	21.93978996	21.05310283	NA	21.25732987	21.31408272	21.02348729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.39095459	21.72046134	21.11208879	NA	NA	21.52568215	21.89134063	21.75050343	21.75261455	NA	NA	NA	NA	NA	21.38076995	21.53649269	21.87757437	NA	20.62967872	20.7701609	21.4366769	20.27345428	20.70839705	21.94940395	21.54965479	20.73691517	20.95129454	21.81154882	22.15110774	21.42816546	NA	NA	21.29379167	22.13310808	22.23221176	21.63932609	20.8303087	21.26059807	21.11321034	21.70623668	NA	20.85980589	22.17944353	22.16531581	21.30934772	20.98429784	20.97660543	20.64758748	NA	NA	21.5215152	20.99635458	21.16640802	20.95373486	21.25449941	21.17935316	NA	21.92139241	NA	NA	21.47070012	20.40657374	21.03651923	NA	21.85262938	21.40528728	NA	NA	21.31849527	21.9138415	21.11460359	21.53529305	21.21331566	21.55568951	21.49275291	21.53601998	20.66313217	21.33193063	21.26485002	21.26456059	21.4046279	20.90165	21.92719433	21.06006819	21.22338107	NA	21.90873915	22.45187024	21.80229044	21.16014261	21.8020935	21.31584238	21.84097474	21.61576434	21.55619668	21.43471286	21.84624172	21.47259926	21.08278182	21.57309239	21.77301222	20.92035118	21.96167846	NA	20.92859002	21.88445845	22.06140129	21.58737715	21.16566162	22.0860322	21.46520346	20.85839531	21.64208547	22.24519045	21.77481333	21.51655487	21.32266139	21.44405683	21.03435767	21.55940991	21.12177745	21.36236733	21.18545619	21.62041151	21.68037661	21.40980048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.61843314	NA	NA	NA	NA	21.67240471	NA	NA	21.4344752	22.33210527	20.61798465	NA	21.51898991	21.03979722	21.26669162	21.52273459	21.69553518		Abce1	Abce1	Abce1	Abce1
Q6P542	37	Abcf1	1	20.68361465	20.84563027	21.10801168	21.55680926	NA	NA	NA	21.1472424	21.13625139	21.47282756	21.25235491	21.03236392	21.41135357	NA	NA	20.56868576	NA	20.80557803	21.56099371	NA	20.79949137	22.09013289	NA	NA	20.87435764	20.84505467	21.08995718	20.70917413	21.14716101	21.46692176	21.94184887	21.27365286	21.5305685	21.20300484	21.91260111	21.88936517	21.74262344	NA	NA	21.35411619	NA	NA	21.74379374	NA	20.52509215	21.48778812	21.14935339	NA	20.62497852	NA	20.96568725	20.78231847	20.17073875	20.81029488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.65258138	21.44819435	22.51218698	NA	21.91839863	22.41658507	21.84271678	21.8461843	22.06773416	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.08527652	20.5507568	20.96369265	NA	NA	21.08491468	21.15947781	21.59038279	20.97324696	21.09537982	21.22275326	21.54087604	20.80589635	21.26543818	20.78095998	21.11717728	20.78139176	20.7025154	21.00750653	20.28748511	20.85521918	NA	NA	21.02885304	21.20663664	22.18773424	20.96079524	22.70212088	23.04772187	22.52446297	21.98219998	21.33065446	22.77561669	22.54747754	21.22133607	22.26047012	22.21928996	22.53632246	21.83952461	NA	20.88410135	21.03988653	21.2388703	21.59541212	22.03981237	20.54263716	21.71355215	21.82407976	NA	NA	21.20144563	21.10036396	20.53295027	21.13393596	21.687702	21.05224312	NA	NA	NA	20.84893448	NA	20.62803775	NA	21.14051148	21.87744607	21.39966199	21.46434291	21.22364129	21.34413048	20.83750411	20.99635845	21.55591712	22.10311112	22.08085188	21.40673928	21.29823068	NA	21.62097914	22.05270581	21.93941013	21.70025549	21.38276128	21.57724563	21.39567696	22.02308153	20.76591257	20.98836912	20.80968733	20.94733117	20.9997485	22.12003595	22.11363886	21.32747787	21.35923796	20.93811364	21.85110933	21.65652484	21.85188988	21.74964157	21.8568026	21.51692071	21.54672028	21.68781453	21.50551085	22.36247264	21.72506109	21.78310048	21.3795726	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.34811324	21.90303528	21.73087672	21.2326831	23.3733109	21.97441482	21.1999075	21.27698355	21.41509335		Abcf1	Abcf1	Abcf1	Abcf1
Q4KML4	50	Abracl	1	22.395832	20.91926174	22.78601523	21.27148597	NA	NA	22.84163124	21.45917957	21.51430549	22.05903101	21.47595724	21.93915303	NA	22.64230116	NA	23.19703095	22.79153062	23.15447702	22.39807874	NA	21.32249828	NA	24.63867371	NA	22.99258223	22.00738072	20.24205304	20.89637498	22.53727966	22.01332871	21.85273487	NA	23.37379356	22.22740284	21.63619778	21.73325027	21.85881861	21.30278606	21.25465027	21.5815072	NA	NA	21.33942443	22.24246813	21.90024602	21.84888893	21.55899765	21.52076844	22.77727953	21.32432457	NA	21.91253322	22.78728803	22.83923255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.99851239	21.59881233	21.04537458	21.24653297	NA	23.11329253	21.80965342	22.93321749	20.91388234	22.67425409	23.07458395	20.98012295	NA	NA	22.57967819	22.98048833	22.68907919	21.27062724	NA	22.30546924	NA	NA	NA	21.79938739	21.9718932	21.50816722	21.28748291	23.10411193	23.85924273	23.0456074	NA	NA	21.25661065	23.62079357	22.00867853	21.65574085	22.79349605	23.92454282	22.43234489	23.84361559	24.9158023	24.42634563	23.88228154	23.98754888	23.31139542	21.04720763	20.75025443	21.78558918	NA	21.42193659	21.5089269	21.34004123	20.13927468	21.39894855	22.06786033	21.49449071	20.7953629	21.30122658	NA	21.61077807	21.85134746	20.81620165	21.70660446	21.40065491	21.29958524	23.10823599	NA	23.98438052	22.4021386	21.36932559	21.29264222	22.54719969	23.03665678	20.57545531	22.48192506	NA	23.05123547	NA	22.69177228	21.18781068	21.54851115	25.04829569	23.30700056	23.61240522	23.75724715	NA	23.58768203	22.63458553	22.61977648	NA	21.98045676	21.75063751	21.8098354	NA	NA	NA	21.58655735	21.61922561	21.54023875	22.09105948	22.50670946	23.41814576	24.76109495	NA	23.11207749	23.27805717	22.55101452	22.48180252	NA	21.10368463	23.85851869	25.51842842	NA	23.56759891	23.40486838	22.87958456	NA	23.28332975	23.70719088	NA	NA	NA	25.47882274	24.58269765	23.03850374	22.92536778	22.51194039	25.53206436	24.55735038	25.33987553	NA	25.18561974	23.51376844	23.18177079	22.72800643	NA	23.44110814	23.95290268	NA	NA	NA	24.23381315	NA	NA	20.83578705	22.99351409	24.89597722	24.71471203	23.09055405	24.50651109	22.24515658	22.7625696	NA		Abracl	Abracl	Abracl	Abracl
P51174	101	Acadl	1	23.10248692	21.88578863	21.59305856	22.36121658	NA	NA	22.83356308	22.90971057	22.10422393	21.28130706	22.77400089	21.9493254	NA	NA	NA	NA	22.48877756	NA	22.65130864	NA	NA	23.35984645	NA	NA	23.37648697	26.57339877	23.50424228	NA	22.60457816	22.60137125	NA	NA	NA	23.43538314	23.12794026	22.57055573	22.21172672	22.16460117	21.94584648	21.58015626	NA	NA	22.40909246	22.72692534	21.21049109	21.90917553	20.9267696	22.00374531	22.93478674	NA	NA	21.24083261	21.84643133	21.95800482	22.96268621	22.52451789	21.5347042	22.16621983	22.73808256	NA	22.39593722	NA	23.04843539	22.4331563	22.62034782	NA	21.68648134	21.31684699	NA	22.57158679	21.41969721	22.60812983	21.41817327	NA	21.16347947	NA	NA	NA	22.20976248	22.53497751	21.12920396	NA	22.50366404	22.16135699	21.70755788	21.1852297	NA	22.55815493	22.67572861	22.08072949	22.73357737	22.42846646	22.50068925	21.88350611	23.28273245	NA	22.20290062	21.11884678	22.3035671	22.25655958	22.34568685	22.77884816	22.71780841	23.47448266	NA	22.38679077	21.60981409	21.73419507	22.12303434	22.36648853	22.67337968	22.83563731	NA	NA	23.26654726	22.19378723	22.34626335	22.6817479	21.76712204	21.99591539	21.70039371	NA	NA	NA	21.9971179	22.28449482	20.98497917	21.45502584	21.71333618	20.69675447	NA	22.03988277	21.22290059	21.56910554	20.73570263	20.08196148	22.82957182	22.30791793	22.19878896	NA	23.10383515	22.94894763	22.05409116	23.14633957	22.5950257	23.89237663	23.00649011	23.16702159	NA	24.15813077	24.00049782	22.65023619	22.16796746	23.84321945	21.81521929	22.46300539	22.56892977	NA	NA	24.13373066	22.11446093	21.21709009	22.561361	22.01522532	22.06916858	22.45716315	NA	NA	22.24157726	21.89175455	21.98287465	22.39559792	NA	22.7300847	22.20661923	NA	NA	22.04614092	23.0915005	22.56125403	22.91697038	23.07301191	23.34517227	NA	NA	NA	23.94201881	21.81472032	21.77111487	22.14360526	22.21947909	21.70199518	22.05141987	NA	NA	23.88758964	21.61154602	21.77055602	22.56620832	NA	23.16640944	21.94783616	NA	NA	NA	22.51326654	24.51184143	23.64856242	23.14215989	24.98107233	23.32294794	NA	NA	24.27749017	23.69100161	22.77657066	24.6370014		Acadl	Acadl	Acadl	Acadl
P50544	79	Acadvl	1	22.41273393	21.97760627	21.82681052	21.89287312	NA	NA	22.34359418	22.61549446	21.59309222	21.99502269	22.70430178	22.23431129	22.87090501	22.25970611	NA	22.12616377	21.7890615	22.00817577	22.28410528	22.42208412	22.75726619	23.02525803	23.11667478	23.60115337	21.6187491	23.05788132	22.80273738	22.12534476	22.61742194	22.01715624	22.63758976	NA	NA	22.27508503	22.14968631	22.53839496	22.25214047	22.65630166	23.00362766	22.38902694	NA	NA	22.37209029	22.66480862	21.9546439	22.19212139	22.40789219	22.73529121	22.97660761	23.78823509	23.02913703	23.7201687	22.57116683	22.74795903	23.34225571	22.37899486	23.00285953	22.20634735	NA	NA	22.2525138	NA	22.86800362	NA	22.90711434	21.93656728	22.473283	22.62409442	NA	22.38626119	22.41313713	22.71606057	22.54963634	22.85561916	22.12183821	22.0017074	NA	NA	22.43693186	21.56837457	22.81132804	23.04431719	23.13366839	22.73239502	23.56654554	24.20310333	NA	22.71913456	23.17923095	22.91894065	23.48384234	23.17206035	22.78604287	22.09204211	NA	NA	23.09161385	22.49820443	22.16001368	23.50027084	22.33028337	22.75009855	23.02138713	NA	NA	22.49989912	21.90588833	22.75132879	22.11875174	22.97072518	22.75771882	22.97200063	23.3911809	23.99998952	23.56430378	23.09573521	23.16747205	23.27598794	22.36091029	22.61137644	22.41990494	22.21047718	22.65739942	22.230531	21.71100294	23.01580688	22.32823838	22.80626367	22.91106171	22.5519222	23.48648771	23.19192578	23.17408408	22.75495547	22.42849087	22.83281131	22.52626103	22.19605546	21.89725057	NA	22.73851391	22.82478529	22.29817299	23.03975638	22.5375606	22.28664002	22.60532984	22.68560213	NA	NA	22.37744513	22.9403781	22.70335608	23.19570372	22.61774348	21.66557004	22.39721897	NA	NA	22.13454933	22.14445519	22.50936388	22.92629145	22.82196719	23.10809256	22.25939969	NA	NA	22.32528796	22.60750998	22.61256067	22.32804856	NA	NA	20.75439505	NA	NA	NA	NA	20.53507986	NA	22.61541017	22.03616338	22.99787194	NA	NA	22.19090897	23.52292959	22.70470222	22.66722407	21.71112986	22.54430066	23.10160779	NA	NA	23.05827	21.7161542	23.06551043	23.14942001	22.13051893	21.35376662	22.44673324	NA	NA	22.26555024	21.5148511	22.06757324	22.56243273	21.50809557	21.98669356	22.31164665	22.23833603	NA	21.12734532	21.97701147	22.56078686	22.84247099		Acadvl	Acadvl	Acadvl	Acadvl
Q8QZT1	109	Acat1	1	23.08874179	22.22947689	22.36431597	22.78541985	NA	NA	23.18748916	22.74386823	23.07025751	22.59750026	22.04831328	22.18475382	22.49629859	NA	22.5103736	22.21339576	22.03041064	22.41138053	22.26990302	23.26663351	23.56869917	22.58683376	22.88706483	23.5834686	22.67843778	22.69984486	22.57658467	23.07639423	21.64600077	22.00516293	22.60782154	NA	NA	23.14989211	22.53077399	22.24880658	22.46483822	22.57133733	22.25221489	22.59672598	24.16904609	23.37811424	22.92165478	22.82038967	22.85950266	22.28304708	22.70312823	23.57751213	23.33000738	26.06821643	23.59864933	24.07423686	23.68046649	23.01779815	24.40573767	NA	23.29290738	23.81499941	23.64318073	23.62330612	23.03785262	23.97664122	23.8657561	23.27220781	21.21344444	21.82045131	21.9609815	NA	23.30021203	22.27766612	22.50139526	22.10996467	21.72563612	22.14759757	22.26821414	22.52077531	24.58519835	NA	22.27997121	23.25183679	22.60239338	22.87118828	22.88473169	22.35733521	22.88595863	NA	24.03717327	23.09506954	22.20269805	22.86335154	22.95037836	22.19563507	23.38377556	21.99488917	23.79416276	23.10152801	22.6219502	23.2776375	23.71398607	22.05669742	20.84250108	22.10108523	22.79527826	22.17447387	NA	22.94847529	22.11569562	22.2028187	21.94897443	22.40299164	21.54139979	22.49992446	NA	23.04247573	22.69325652	22.45722299	21.74296909	21.4921297	21.58160749	22.03800085	22.22809823	22.14302192	NA	22.05367483	22.72147131	22.45172352	22.29917548	23.25046497	21.85778111	22.66882612	NA	NA	21.64434195	22.02294527	21.7675358	21.77695466	23.54226946	24.38446289	24.63429156	NA	NA	24.42936798	23.7388163	24.59879629	23.96696515	22.20783221	22.67642779	22.45778765	23.55277174	23.53073642	22.27355781	22.7954515	21.82550947	22.83116228	23.15274139	23.40906752	22.78961128	NA	NA	24.1128978	23.0072846	22.48785218	23.33414423	22.59464165	22.42733292	22.10683027	22.23092561	23.320973	21.98373257	22.22206202	22.79891501	21.42711407	23.33000561	22.53270149	22.62641834	22.04349629	NA	23.45298892	23.44796949	22.37956913	22.43872008	22.08263835	21.81105788	22.95322922	23.01123539	NA	22.51141565	22.68212773	23.15221732	21.64646856	21.68341448	22.1892114	22.89328261	22.72377399	22.71345502	22.51656107	21.92374604	21.64023421	22.47478235	22.72254878	22.29997063	21.97559268	NA	NA	22.57719354	22.2033169	22.79837881	22.89513669	22.55600056	22.19243616	22.28754792	22.37450603	23.04499308	22.23803901	22.56292026	22.1369072	23.18375495		Acat1	Acat1	Acat1	Acat1
Q8CAY6	29	Acat2	1	21.48816696	22.67037821	21.603411	22.69335089	NA	NA	22.27364477	22.22378006	21.82907718	21.86596004	20.93452701	21.06004799	22.58752288	21.82180193	21.92279328	21.0386121	21.39214436	NA	21.62349457	21.84098065	21.02722499	21.6162251	21.91287816	21.88193527	22.40572558	21.02126052	20.13968894	21.09385779	21.40480995	20.88763229	21.49677394	NA	21.88866981	21.68001502	21.4141105	20.38186306	20.01247161	21.25779089	21.64993811	21.76107927	NA	NA	20.76196413	21.392918	21.1926605	20.68989834	21.71154954	21.78977071	21.93840547	22.09635432	NA	21.96226081	20.80815969	21.52436662	21.50022151	21.17910632	21.32263529	21.79838179	21.73790735	NA	21.12455538	21.63918301	19.95485782	21.32902527	21.65049205	20.70469258	22.04314229	NA	21.77469681	21.67250689	21.60294916	20.88336755	20.70271995	21.64321632	21.76571183	22.12613958	22.33417329	21.57670986	22.0921949	22.08291328	21.61188629	21.2045746	NA	21.65487885	21.28905596	NA	22.6320317	NA	21.69707527	22.05821745	21.34705053	20.93737342	21.3643701	20.60515471	22.39427556	NA	21.3503555	20.71596635	21.55560689	20.9077003	20.21668573	20.73851836	21.79536448	21.30675468	NA	23.12847674	20.24040519	21.24056863	20.86272767	20.12803842	20.64455656	21.10918489	NA	NA	21.34554135	21.54580133	20.81765729	NA	20.78355596	21.197989	21.5853548	22.26436972	21.98344575	21.84917215	21.73134947	21.98336532	21.29043019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.50032096	20.62749854	21.03108941	NA	21.62172619	21.34013965	20.99159674	21.3374996	20.96503585	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.95117842	21.46839823	21.50427043	21.64942702	21.7634716	22.42395213	22.0468457	22.27997044	NA	21.34862771	20.03350786	21.72007852	NA	NA	22.28259238	21.76803625	21.81014068	21.35628668	21.49496507	20.99905941	NA	NA	21.65684576	22.64886703	21.77961388	21.50653912	20.70213711	20.81094247	21.07536323	20.78990255	21.48437187	NA	22.12216201	20.9470337	20.77074499	20.9446754	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.12603126	21.32258116	22.53782594	NA	NA	21.81545247	22.09687386	22.10931421	21.99124666		Acat2	Acat2	Acat2	Acat2
Q9JIX8	27	Acin1	1	20.23853581	20.88389835	21.06973726	20.89035077	NA	NA	20.92835623	19.91365493	20.64871192	21.03049823	19.83682326	21.02500728	NA	NA	NA	21.61567212	NA	20.51573449	21.37199168	20.42426999	NA	20.57663006	20.28490024	NA	20.33461532	20.38826028	20.55295819	19.73612907	20.03223727	19.98201285	19.92742186	20.84976086	NA	19.88872977	20.60742878	20.15792078	20.62215206	20.81116222	21.30917678	20.78767788	NA	NA	NA	20.25790171	20.86913086	20.5551698	20.30696454	21.18297409	20.90428097	NA	NA	20.78862234	20.62329529	20.98467452	21.3497988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.28088144	20.87361489	NA	NA	21.15599652	19.88693844	20.93922243	20.65378366	NA	20.60647003	21.0325755	NA	20.99363674	20.89000425	20.89746759	20.84952314	20.6886042	21.07178383	21.40256592	21.45100969	NA	NA	21.6782921	20.77472198	NA	20.71273703	21.09474045	21.39782379	21.14883407	20.6013495	NA	20.72156619	20.96914323	21.08481765	20.80024332	20.75205348	21.51949959	20.83969075	NA	NA	20.8174013	20.29746452	20.7541874	20.7220928	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.13428808	20.18854509	20.17681892	NA	NA	21.03767386	21.22999373	20.77543388	20.60871197	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.64501199	20.58252263	20.51124901	20.73631382	NA	20.50961027	20.6388177	20.52475722	20.55971381	20.34293504	20.51475811	20.00657301	20.57005461	NA	20.37450439	20.5010846	20.31016121	20.21814221	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.64118324	20.49681837	20.36955984	20.3709235	NA	21.33354318	20.81833371	20.81223366	20.24110858	20.55314926	20.08764348	20.18588819	19.37873498	NA	19.45041959	20.16607826	19.98624604	20.4068762	NA	20.64425939	NA	NA	NA	NA	20.33991308	20.40708509	20.6301225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		Acin1	Acin1	Acin1	
Q91V92	93	Acly	1	22.60547802	23.08181886	23.37614995	23.31104411	NA	NA	23.26143306	23.00592071	22.43649008	21.99401959	23.12457882	23.1014725	NA	25.05901734	NA	22.65288038	22.89429076	23.19580233	22.58966861	22.7989966	22.86582424	22.50627216	24.33927062	NA	22.96403618	23.01169035	22.81660161	22.33552776	21.96261928	22.48958437	22.75473926	NA	NA	22.88582102	22.56492209	21.98112283	22.13399002	22.3883916	22.62285746	22.91525659	NA	23.20304292	22.89146146	23.50653826	22.90353652	22.90201197	24.34597473	24.51778839	23.61004696	24.38161912	23.6842899	24.08991763	23.14687615	23.84942055	22.95244392	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.65684608	23.98251118	23.10538704	NA	NA	23.11338013	23.17044839	22.57781312	22.73156589	22.89237686	22.92225714	22.96402797	NA	NA	23.8078115	23.42142288	22.68567719	NA	23.24533809	23.54461191	24.18947181	NA	NA	23.81769644	22.10156659	NA	NA	22.4077169	22.29643849	22.58639718	NA	22.39019908	22.61936674	22.73002687	22.74875191	22.62098318	22.9799303	NA	NA	NA	NA	NA	NA	22.62655123	22.77779635	22.63478939	23.29586014	23.50615231	23.92106367	23.44112514	23.65812559	23.28071673	22.87560408	23.04054025	22.69097436	23.46850293	23.34328549	23.42950534	23.28988277	24.36096813	23.18299448	22.94260796	23.47153824	23.15584835	22.7196441	22.93952886	22.65973125	23.52563048	22.92346869	22.95473079	22.16479561	22.72271119	23.16733896	23.52007982	23.27947702	23.55284071	22.63205001	23.44475061	23.21049918	22.80208571	23.18266179	22.62225947	22.67804729	22.89444359	22.89660672	22.55713486	22.86669243	22.47895284	22.0420862	22.10402943	22.45466297	22.73819491	22.58298032	NA	NA	22.88891477	22.66058952	22.72040553	22.10357104	23.34347248	22.98322566	22.99308784	22.44861664	23.33579021	23.44350575	23.68044967	22.88884558	23.65579642	21.99228059	22.56350503	23.12249016	22.479193	22.22592927	23.14337195	23.01201465	22.67720742	22.55354408	22.11348728	21.84673713	22.79291319	NA	NA	22.9889659	22.92138711	22.10425017	21.52821384	23.00315801	22.01326126	22.2678024	NA	NA	NA	22.72277986	22.27135994	22.59862287	21.81693745	21.14085925	NA	NA	22.292524	NA	20.48758854	NA	NA	21.85838398	23.49603752	22.58194875	NA	NA	22.83355402	22.67310715	22.3675613	22.63341327		Acly	Acly	Acly	Acly
