,gene
1,0610009B22Rik
2,0610009L18Rik
3,0610010F05Rik
4,0610012G03Rik
5,0610040B10Rik
6,0610043K17Rik
7,1100001I12Rik
8,1110002L01Rik
9,1110004F10Rik
10,1110008P14Rik
11,1110012L19Rik
12,1110019D14Rik
13,1110020A21Rik
14,1110032A03Rik
15,1110038B12Rik
16,1110038F14Rik
17,1110046J04Rik
18,1110051M20Rik
19,1110059E24Rik
20,1110059G10Rik
21,1110065P20Rik
22,1190005I06Rik
23,1190007I07Rik
24,1190028D05Rik
25,1200007C13Rik
26,1300002E11Rik
27,1300017J02Rik
28,1500011B03Rik
29,1600002D24Rik
30,1600010M07Rik
31,1600012H06Rik
32,1600014C10Rik
33,1600020E01Rik
34,1600029O15Rik
35,1700001K19Rik
36,1700003I16Rik
37,1700008O03Rik
38,1700010B13Rik
39,1700012D14Rik
40,1700012I11Rik
41,1700012P22Rik
42,1700016B01Rik
43,1700016C15Rik
44,1700016D06Rik
45,1700017B05Rik
46,1700018A04Rik
47,1700019A02Rik
48,1700020G17Rik
49,1700021F02Rik
50,1700022A22Rik
51,1700022H16Rik
52,1700025G04Rik
53,1700025O08Rik
54,1700028P14Rik
55,1700029F12Rik
56,1700030K09Rik
57,1700030N03Rik
58,1700034P13Rik
59,1700037C18Rik
60,1700037H04Rik
61,1700042G15Rik
62,1700044C05Rik
63,1700047F07Rik
64,1700052K11Rik
65,1700054A03Rik
66,1700057H15Rik
67,1700061I17Rik
68,1700066B19Rik
69,1700066J03Rik
70,1700069L16Rik
71,1700072O05Rik
72,1700081N11Rik
73,1700084C06Rik
74,1700084E18Rik
75,1700084F23Rik
76,1700086O06Rik
77,1700091H14Rik
78,1700093K21Rik
79,1700095J07Rik
80,1700096K18Rik
81,1700109H08Rik
82,1700112D23Rik
83,1700112J05Rik
84,1700120C14Rik
85,1700120G11Rik
86,1700123J17Rik
87,1700123O12Rik
88,1700123O20Rik
89,1700125H20Rik
90,1700128A07Rik
91,1810007D17Rik
92,1810008I18Rik
93,1810013L24Rik
94,1810014B01Rik
95,1810019N24Rik
96,1810030O07Rik
97,1810037I17Rik
98,1810055G02Rik
99,1810058I24Rik
100,2010001A14Rik
101,2010109A12Rik
102,2010110G14Rik
103,2010110K18Rik
104,2010204K13Rik
105,2010309G21Rik
106,2010315B03Rik
107,2010320M18Rik
108,2210016F16Rik
109,2210016L21Rik
110,2210408F21Rik
111,2210408I21Rik
112,2210418O10Rik
113,2300009A05Rik
114,2310001H17Rik
115,2310002F09Rik
116,2310008N11Rik
117,2310009B15Rik
118,2310010J17Rik
119,2310011J03Rik
120,2310014F06Rik
121,2310022A10Rik
122,2310022B05Rik
123,2310030G06Rik
124,2310033P09Rik
125,2310039H08Rik
126,2310039L15Rik
127,2310040G24Rik
128,2310061I04Rik
129,2410003L11Rik
130,2410004B18Rik
131,2410006H16Rik
132,2410018L13Rik
133,2410131K14Rik
134,2410152P15Rik
135,2510002D24Rik
136,2510009E07Rik
137,2510039O18Rik
138,2600014E21Rik
139,2610001J05Rik
140,2610002M06Rik
141,2610005L07Rik
142,2610008E11Rik
143,2610020C07Rik
144,2610037D02Rik
145,2610044O15Rik8
146,2610206C17Rik
147,2610300M13Rik
148,2610301B20Rik
149,2610307P16Rik
150,2610507B11Rik
151,2700049A03Rik
152,2700062C07Rik
153,2700069I18Rik
154,2700081O15Rik
155,2700097O09Rik
156,2700099C18Rik
157,2810001G20Rik
158,2810002D19Rik
159,2810004N23Rik
160,2810006K23Rik
161,2810013P06Rik
162,2810021J22Rik
163,2810025M15Rik
164,2810032G03Rik
165,2810403D21Rik
166,2810404M03Rik
167,2810408I11Rik
168,2810433D01Rik
169,2810454H06Rik
170,2810459M11Rik
171,2810471M01Rik
172,2900026A02Rik
173,2900045O20Rik
174,2900052L18Rik
175,2900060N12Rik
176,2900076A07Rik
177,2900089D17Rik
178,2900093K20Rik
179,2900097C17Rik
180,3000002C10Rik
181,3010001F23Rik
182,3110009E18Rik
183,3110040N11Rik
184,3110056K07Rik
185,3110082I17Rik
186,3300002I08Rik
187,3830406C13Rik
188,3830408C21Rik
189,4430402I18Rik
190,4632427E13Rik
191,4732465J04Rik
192,4732471J01Rik
193,4732496C06Rik
194,4833420G17Rik
195,4833427F10Rik
196,4833439L19Rik
197,4921504E06Rik
198,4921507G05Rik
199,4921515E04Rik
200,4921524J17Rik
201,4921539E11Rik
202,4930402D18Rik
203,4930402H24Rik
204,4930405D01Rik
205,4930412B13Rik
206,4930413G21Rik
207,4930414N06Rik
208,4930415O20Rik
209,4930429D17Rik
210,4930430F08Rik
211,4930431P19Rik
212,4930432B10Rik
213,4930434F21Rik
214,4930441J16Rik
215,4930447C04Rik
216,4930447J18Rik
217,4930448H16Rik
218,4930451G09Rik
219,4930453N24Rik
220,4930467D21Rik
221,4930471E19Rik
222,4930471L23Rik
223,4930471M09Rik
224,4930474H20Rik
225,4930477G07Rik
226,4930478M13Rik
227,4930481A15Rik
228,4930483O08Rik
229,4930500H12Rik
230,4930500L23Rik
231,4930503E24Rik
232,4930503L19Rik
233,4930505N22Rik
234,4930509G22Rik
235,4930511M18Rik
236,4930512B01Rik
237,4930513L16Rik
238,4930515L19Rik
239,4930519F16Rik
240,4930519L02Rik
241,4930522L14Rik
242,4930525G20Rik
243,4930526A20Rik
244,4930527F14Rik
245,4930528J11Rik
246,4930532G15Rik
247,4930539M17Rik
248,4930546C10Rik
249,4930550C14Rik
250,4930554G24Rik
251,4930556J02Rik
252,4930556J24Rik
253,4930556N13Rik
254,4930557F10Rik
255,4930558J18Rik
256,4930558K02Rik
257,4930563M21Rik
258,4930564D02Rik
259,4930573H18Rik
260,4930578E11Rik
261,4930578M01Rik
262,4930579C12Rik
263,4930579D07Rik
264,4930581F22Rik
265,4930586N03Rik
266,4930588A03Rik
267,4930590J08Rik
268,4930593A02Rik
269,4930599A14Rik
270,4930599N23Rik
271,4931406C07Rik
272,4931406P16Rik
273,4931414P19Rik
274,4931415C17Rik
275,4931422A03Rik
276,4931428L18Rik
277,4931429P17Rik
278,4932431P20Rik
279,4932438A13Rik
280,4932441J04Rik
281,4933404O12Rik
282,4933405E24Rik
283,4933406I18Rik
284,4933407K13Rik
285,4933411E08Rik
286,4933417A18Rik
287,4933421O10Rik
288,4933424G06Rik
289,4933426B08Rik
290,4933427G23Rik
291,4933431K23Rik
292,4933432I03Rik
293,4933433G19Rik
294,4933434E20Rik
295,4933438A12Rik
296,4933438B17Rik
297,4933440M02Rik
298,5031425E22Rik
299,5031439G07Rik
300,5033406O09Rik
301,5033421B08Rik
302,5330417C22Rik
303,5430403G16Rik
304,5430405H02Rik
305,5430431A17Rik
306,5430434F05Rik
307,5530601H04Rik
308,5730409E04Rik
309,5730419F03Rik
310,5730455P16Rik
311,5730522E02Rik
312,5830417I10Rik
313,5830444B04Rik
314,5930403N24Rik
315,5930430L01Rik
316,6030440G07Rik
317,6030443J06Rik
318,6030458C11Rik
319,6330418K02Rik
320,6330549D23Rik
321,6330562C20Rik
322,6430553K19Rik
323,6720489N17Rik
324,6820408C15Rik
325,6820431F20Rik
326,8030442B05Rik
327,8030462N17Rik
328,8430422H06Rik
329,8430426J06Rik
330,8430429K09Rik
331,9030025P20Rik
332,9030622O22Rik
333,9030624G23Rik
334,9030625G05Rik
335,9130019P16Rik
336,9130024F11Rik
337,9130204K15Rik
338,9130230L23Rik
339,9130401M01Rik
340,9130409I23Rik
341,9230114K14Rik
342,9230116L04Rik
343,9330020H09Rik
344,9330111N05Rik
345,9330159M07Rik
346,9330179D12Rik
347,9330199G10Rik
348,9430015G10Rik
349,9430038I01Rik
350,9430081H08Rik
351,9430091E24Rik
352,9530026P05Rik
353,9530036O11Rik
354,9530053A07Rik
355,9530068E07Rik
356,9530077C05Rik
357,9530086O07Rik
358,9630013D21Rik
359,9630014M24Rik
360,9830132P13Rik
361,9930021J03Rik
362,9930111J21Rik2
363,A130012E19Rik
364,A130051J06Rik
365,A230001M10Rik
366,A230004M16Rik
367,A230006K03Rik
368,A230057D06Rik
369,A230083G16Rik
370,A26c2
371,A330023F24Rik
372,A330040F15Rik
373,A3galt2
374,A430005L14Rik
375,A430073D23Rik
376,A430103D13Rik
377,A430105J06Rik
378,A4galt
379,A530064D06Rik
380,A530065N20Rik
381,A530072M11Rik
382,A630001G21Rik
383,A630010A05Rik
384,A630023A22Rik
385,A630023P12Rik
386,A630089N07Rik
387,A630095N17Rik
388,A730056A06Rik
389,A730063M14Rik
390,A730081D07Rik
391,A830008E24Rik
392,A830018L16Rik
393,A830019P07Rik
394,A830035A12Rik
395,A830082K12Rik
396,A930004D18Rik
397,A930005H10Rik
398,A930007I19Rik
399,A930015D03Rik
400,A930029G22Rik
401,AA386476
402,AA465934
403,AB124611
404,AC074312.1
405,AC106834.1
406,AC123856.1
407,AC131692.1
408,AC142100.1
409,AC147806.2
410,AC147806.3
411,AC154200.1
412,AC159819.1
413,AC160138.1
414,AC160336.1
415,AC163638.2
416,AI182371
417,AI413582
418,AI506816
419,AI597479
420,AI661453
421,AI837181
422,AI847159
423,AI987944
424,AK157302
425,AL645799.1
426,AL671885.1
427,AL831766.1
428,AL928616.1
429,AU018091
430,AU019990
431,AU020206
432,AU022252
433,AU040320
434,AU041133
435,AV099323
436,AV356131
437,AW011738
438,AW112010
439,AW146154
440,AW549877
441,AW554918
442,AY074887
443,Aaas
444,Aacs
445,Aagab
446,Aak1
447,Aamdc
448,Aamp
449,Aar2
450,Aars
451,Aars2
452,Aarsd1
453,Aasdh
454,Aasdhppt
455,Aatf
456,Aatk
457,Abat
458,Abca1
459,Abca13
460,Abca17
461,Abca2
462,Abca3
463,Abca4
464,Abca5
465,Abca6
466,Abca8b
467,Abca9
468,Abcb11
469,Abcb1b
470,Abcb4
471,Abcb5
472,Abcb7
473,Abcb8
474,Abcb9
475,Abcc1
476,Abcc3
477,Abcc4
478,Abcc5
479,Abcd1
480,Abcd3
481,Abcd4
482,Abce1
483,Abcf1
484,Abcf2
485,Abcf3
486,Abcg2
487,Abhd10
488,Abhd11
489,Abhd12
490,Abhd12b
491,Abhd13
492,Abhd14a
493,Abhd16a
494,Abhd17a
495,Abhd17b
496,Abhd17c
497,Abhd18
498,Abhd2
499,Abhd4
500,Abhd6
501,Abhd8
502,Abi1
503,Abi2
504,Abi3bp
505,Abitram
506,Abl1
507,Abl2
508,Ablim1
509,Ablim2
510,Ablim3
511,Abo
512,Abr
513,Abracl
514,Abraxas2
515,Abt1
516,Acaa1a
517,Acaa1b
518,Acaa2
519,Acaca
520,Acacb
521,Acad10
522,Acad12
523,Acad8
524,Acad9
525,Acadl
526,Acadm
527,Acads
528,Acadsb
529,Acadvl
530,Acap2
531,Acat1
532,Acat2
533,Acat3
534,Acbd3
535,Acbd4
536,Acbd5
537,Acbd6
538,Accs
539,Acd
540,Acer1
541,Acer2
542,Acer3
543,Acin1
544,Acly
545,Aco1
546,Aco2
547,Acot10
548,Acot11
549,Acot12
550,Acot13
551,Acot2
552,Acot7
553,Acot8
554,Acot9
555,Acox1
556,Acox3
557,Acoxl
558,Acp1
559,Acp2
560,Acp6
561,Acp7
562,Acpp
563,Acsbg1
564,Acsbg2
565,Acsf2
566,Acsl1
567,Acsl3
568,Acsl4
569,Acsl5
570,Acss1
571,Acss2
572,Acss3
573,Acta2
574,Actb
575,Actb-ps1
576,Actg-ps1
577,Actg1
578,Actl6a
579,Actn1
580,Actn2
581,Actn3
582,Actn4
583,Actr10
584,Actr1a
585,Actr1b
586,Actr2
587,Actr3
588,Actr3-ps
589,Actr3b
590,Actr6
591,Actr8
592,Acvr1
593,Acvr2a
594,Acy1
595,Acy3
596,Acyp1
597,Acyp2
598,Ada
599,Adam10
600,Adam12
601,Adam15
602,Adam17
603,Adam19
604,Adam2
605,Adam23
606,Adam32
607,Adam7
608,Adam9
609,Adamts1
610,Adamts10
611,Adamts12
612,Adamts13
613,Adamts14
614,Adamts17
615,Adamts19
616,Adamts2
617,Adamts20
618,Adamts3
619,Adamts5
620,Adamts6
621,Adamts7
