"","colnames.protein_input_750wide_norm.","SampleID","Group","Batch","Channel"
"1","C10_A1_1","C10_A1_1","C10","A1","C10_1"
"2","C10_A1_3","C10_A1_3","C10","A1","C10_3"
"3","C10_A1_4","C10_A1_4","C10","A1","C10_4"
"4","C10_A2_1","C10_A2_1","C10","A2","C10_1"
"5","C10_A2_3","C10_A2_3","C10","A2","C10_3"
"6","C10_A2_4","C10_A2_4","C10","A2","C10_4"
"7","C10_A4_1","C10_A4_1","C10","A4","C10_1"
"8","C10_A4_3","C10_A4_3","C10","A4","C10_3"
"9","C10_A4_4","C10_A4_4","C10","A4","C10_4"
"10","C10_A5_1","C10_A5_1","C10","A5","C10_1"
"11","C10_A5_3","C10_A5_3","C10","A5","C10_3"
"12","C10_A5_4","C10_A5_4","C10","A5","C10_4"
"13","C10_A6_1","C10_A6_1","C10","A6","C10_1"
"14","C10_A6_3","C10_A6_3","C10","A6","C10_3"
"15","C10_A6_4","C10_A6_4","C10","A6","C10_4"
"16","C10_A7_1","C10_A7_1","C10","A7","C10_1"
"17","C10_A7_3","C10_A7_3","C10","A7","C10_3"
"18","C10_A7_4","C10_A7_4","C10","A7","C10_4"
"19","C10_A8_1","C10_A8_1","C10","A8","C10_1"
"20","C10_A8_3","C10_A8_3","C10","A8","C10_3"
"21","C10_A8_4","C10_A8_4","C10","A8","C10_4"
"22","C10_B1_1","C10_B1_1","C10","B1","C10_1"
"23","C10_B1_3","C10_B1_3","C10","B1","C10_3"
"24","C10_B1_4","C10_B1_4","C10","B1","C10_4"
"25","C10_B2_1","C10_B2_1","C10","B2","C10_1"
"26","C10_B2_3","C10_B2_3","C10","B2","C10_3"
"27","C10_B2_4","C10_B2_4","C10","B2","C10_4"
"28","C10_B3_1","C10_B3_1","C10","B3","C10_1"
"29","C10_B3_3","C10_B3_3","C10","B3","C10_3"
"30","C10_B3_4","C10_B3_4","C10","B3","C10_4"
"31","C10_B4_1","C10_B4_1","C10","B4","C10_1"
"32","C10_B4_3","C10_B4_3","C10","B4","C10_3"
"33","C10_B4_4","C10_B4_4","C10","B4","C10_4"
"34","C10_B5_1","C10_B5_1","C10","B5","C10_1"
"35","C10_B5_3","C10_B5_3","C10","B5","C10_3"
"36","C10_B5_4","C10_B5_4","C10","B5","C10_4"
"37","C10_B6_1","C10_B6_1","C10","B6","C10_1"
"38","C10_B6_3","C10_B6_3","C10","B6","C10_3"
"39","C10_B6_4","C10_B6_4","C10","B6","C10_4"
"40","C10_B7_1","C10_B7_1","C10","B7","C10_1"
"41","C10_B7_3","C10_B7_3","C10","B7","C10_3"
"42","C10_B7_4","C10_B7_4","C10","B7","C10_4"
"43","C10_B8_1","C10_B8_1","C10","B8","C10_1"
"44","C10_B8_3","C10_B8_3","C10","B8","C10_3"
"45","C10_B8_4","C10_B8_4","C10","B8","C10_4"
"46","C10_C1_1","C10_C1_1","C10","C1","C10_1"
"47","C10_C1_3","C10_C1_3","C10","C1","C10_3"
"48","C10_C1_4","C10_C1_4","C10","C1","C10_4"
"49","C10_C2_1","C10_C2_1","C10","C2","C10_1"
"50","C10_C2_3","C10_C2_3","C10","C2","C10_3"
"51","C10_C2_4","C10_C2_4","C10","C2","C10_4"
"52","C10_C3_1","C10_C3_1","C10","C3","C10_1"
"53","C10_C3_3","C10_C3_3","C10","C3","C10_3"
"54","C10_C3_4","C10_C3_4","C10","C3","C10_4"
"55","C10_C4_1","C10_C4_1","C10","C4","C10_1"
"56","C10_C4_3","C10_C4_3","C10","C4","C10_3"
"57","C10_C4_4","C10_C4_4","C10","C4","C10_4"
"58","C10_C5_1","C10_C5_1","C10","C5","C10_1"
"59","C10_C5_3","C10_C5_3","C10","C5","C10_3"
"60","C10_C5_4","C10_C5_4","C10","C5","C10_4"
"61","C10_C6_1","C10_C6_1","C10","C6","C10_1"
"62","C10_C6_3","C10_C6_3","C10","C6","C10_3"
"63","C10_C6_4","C10_C6_4","C10","C6","C10_4"
"64","C10_C7_1","C10_C7_1","C10","C7","C10_1"
"65","C10_C7_3","C10_C7_3","C10","C7","C10_3"
"66","C10_C7_4","C10_C7_4","C10","C7","C10_4"
"67","C10_C8_1","C10_C8_1","C10","C8","C10_1"
"68","C10_C8_3","C10_C8_3","C10","C8","C10_3"
"69","C10_C8_4","C10_C8_4","C10","C8","C10_4"
"70","SVEC_A1_1","SVEC_A1_1","SVEC","A1","SVEC_1"
"71","SVEC_A1_2","SVEC_A1_2","SVEC","A1","SVEC_2"
