"","C10_A1_1","C10_A1_3","C10_A1_4","C10_A2_1","C10_A2_3","C10_A2_4","C10_A4_1","C10_A4_3","C10_A4_4","C10_A5_1","C10_A5_3","C10_A5_4","C10_A6_1","C10_A6_3","C10_A6_4","C10_A7_1","C10_A7_3","C10_A7_4","C10_A8_1","C10_A8_3","C10_A8_4","C10_B1_1","C10_B1_3","C10_B1_4","C10_B2_1","C10_B2_3","C10_B2_4","C10_B3_1","C10_B3_3","C10_B3_4","C10_B4_1","C10_B4_3","C10_B4_4","C10_B5_1","C10_B5_3","C10_B5_4","C10_B6_1","C10_B6_3","C10_B6_4","C10_B7_1","C10_B7_3","C10_B7_4","C10_B8_1","C10_B8_3","C10_B8_4","C10_C1_1","C10_C1_3","C10_C1_4","C10_C2_1","C10_C2_3","C10_C2_4","C10_C3_1","C10_C3_3","C10_C3_4","C10_C4_1","C10_C4_3","C10_C4_4","C10_C5_1","C10_C5_3","C10_C5_4","C10_C6_1","C10_C6_3","C10_C6_4","C10_C7_1","C10_C7_3","C10_C7_4","C10_C8_1","C10_C8_3","C10_C8_4","SVEC_A1_1","SVEC_A1_2","SVEC_A1_3","SVEC_A1_4","SVEC_A2_1","SVEC_A2_3","SVEC_A2_4","SVEC_A4_1","SVEC_A4_2","SVEC_A4_3","SVEC_A4_4","SVEC_A5_1","SVEC_A5_2","SVEC_A5_3","SVEC_A5_4","SVEC_A6_1","SVEC_A6_2","SVEC_A6_3","SVEC_A6_4","SVEC_A7_1","SVEC_A7_2","SVEC_A7_3","SVEC_A7_4","SVEC_A8_1","SVEC_A8_2","SVEC_A8_3","SVEC_A8_4","SVEC_B1_1","SVEC_B1_2","SVEC_B1_3","SVEC_B1_4","SVEC_B2_1","SVEC_B2_2","SVEC_B2_3","SVEC_B2_4","SVEC_B3_1","SVEC_B3_2","SVEC_B3_3","SVEC_B3_4","SVEC_B4_1","SVEC_B4_2","SVEC_B4_3","SVEC_B4_4","SVEC_B5_1","SVEC_B5_2","SVEC_B5_3","SVEC_B5_4","SVEC_B6_1","SVEC_B6_2","SVEC_B6_3","SVEC_B6_4","SVEC_B7_1","SVEC_B7_2","SVEC_B7_3","SVEC_B7_4","SVEC_B8_1","SVEC_B8_2","SVEC_B8_3","SVEC_B8_4","SVEC_C1_1","SVEC_C1_2","SVEC_C1_3","SVEC_C1_4","SVEC_C2_1","SVEC_C2_2","SVEC_C2_3","SVEC_C2_4","SVEC_C3_1","SVEC_C3_2","SVEC_C3_3","SVEC_C3_4","SVEC_C4_1","SVEC_C4_2","SVEC_C4_3","SVEC_C4_4","SVEC_C5_1","SVEC_C5_2","SVEC_C5_3","SVEC_C5_4","SVEC_C6_1","SVEC_C6_2","SVEC_C6_3","SVEC_C6_4","SVEC_C7_1","SVEC_C7_2","SVEC_C7_3","SVEC_C7_4","SVEC_C8_1","SVEC_C8_2","SVEC_C8_3","SVEC_C8_4"
"Aars1",23.7142039813195,23.1663701556789,23.2680162720866,24.2474843887617,23.7772239289858,22.9307477005928,23.5821404531185,23.6889953065099,23.8359743092879,23.972656792062,22.9440965638593,24.2104863137454,23.9653958734251,23.4230779903034,23.309156815803,23.134120589057,23.3866496717693,23.7803643857204,23.3301790835234,23.9653839275941,23.3524305114229,NA,23.6977028246868,23.5465619014245,23.2070986256254,23.7016033895418,23.5595764493537,23.5086374546704,23.7532422570456,23.0791786313715,23.5251392561949,23.2909858470226,23.460141069682,23.9183805883868,22.7874760061191,23.9062448532975,23.1333903794244,23.3410363454786,23.6922543425097,23.3918892597641,23.5516186693588,24.3265499077686,23.8448539651436,23.8751523890189,23.3230248329369,23.2790097497829,23.9080925710775,23.3814149100527,23.3016425980029,23.6769483020917,23.6596729831868,23.5122153673833,23.6268877913893,22.9009562599585,24.1800148741307,23.85869049553,23.9529515454943,23.6652987949306,23.973092521325,23.3134924412691,23.138457229908,23.4133462691258,23.925621157653,23.8790274496017,24.354252088062,23.5072388485922,23.6361798799185,24.2898014586789,NA,23.9191077000801,24.2073454800693,23.3423717581252,24.0515438044219,24.1258506238186,23.3587832894144,23.6548676083987,24.0831560044054,23.619087542011,23.5786942142381,23.297617892148,23.8254028544116,23.7106337382645,23.2852890800542,23.8774272889374,23.2434348282574,23.8513982082256,23.8456968918613,23.8310366341719,24.0948174446857,23.6826975083523,23.3997566251887,24.0655837894448,23.9578426794651,23.7904802108791,23.3819699900372,23.2355519587537,23.8224403368913,22.9864659981108,23.7904808383473,24.2569916085161,24.006348113587,23.8678866410255,23.7739005498875,23.3224959529578,23.8743115982117,23.535106674172,23.7806793196336,23.6623686970162,23.7642131982761,24.2806986333239,23.4800659229169,23.9268673423899,23.3350859534974,NA,23.2507836292547,23.996865089619,23.4861489691482,24.2592166166943,22.9313757663293,23.8603904774171,23.7125079421263,23.4610388039306,23.3839360563936,23.6477278105884,23.6913998051333,24.1615810856154,22.8364301634053,23.6030096115952,23.9421028547877,23.5342835222331,23.5330844726829,24.0642697234899,23.2302389166481,23.892275673628,23.7792961980323,23.7272319523932,23.7800769734734,23.5159445992715,24.0947074819426,24.2143009750996,23.3457425999578,23.3571359397853,23.1957527734891,23.7216637876208,23.3178767056771,23.2512340647834,24.3543982825696,24.0201368191764,23.7359021979299,24.0457720120771,22.9475866259884,23.6723011124638,23.9787994666916,23.1191288436682,23.3549394271005,23.919371953737,23.8187349253974,23.3894952237146,23.1125373434747,23.7402294364552
"Abce1",21.033261501334,21.3448101591817,21.4935827655707,20.8742603499295,21.7134910464937,21.2449383695961,21.209377821944,21.643604436624,21.6466187134705,21.3169125223978,21.5434367833784,21.2709877286476,21.5270752213045,20.6680157709942,21.2967016394788,21.4638442571776,21.9304904705998,21.4619925855851,20.9419492323003,21.3245732985428,21.0955507803057,NA,21.7102509041406,21.2917014530221,20.9368761292509,20.9749063025614,21.3844060192349,NA,21.7682266885106,NA,20.9187267190451,20.985233686917,21.1397106601649,NA,21.0520901348498,21.444570967502,21.2033344983214,21.2144711409044,21.4691334186672,21.4382395337728,21.7117862204271,21.4258101899253,NA,NA,NA,21.4522315971249,21.349224895439,21.1564819210435,20.9726134270698,21.1898293882417,NA,21.4682590760068,21.9003447961447,21.3022722118454,20.9731094688605,22.0057005161614,21.3504400953662,20.9125840219082,21.6212770558782,21.074269435371,21.7136439161456,21.3853801690554,20.9025277804763,NA,NA,NA,21.4203749768045,21.4902577172974,21.5792446981334,21.2312518439308,21.5736733982879,21.5997577264523,21.4297743488692,21.4938196313489,21.7432292558187,NA,21.5554390783766,20.8928689886945,21.3037413121143,21.7724807206262,21.2698231115749,20.8669966675877,21.8945091854834,21.318246168225,21.4251019190851,NA,NA,21.7053557154068,21.6338898062531,20.8548281060332,20.8840043404821,21.7616905000325,21.8338588456066,21.2744311133322,21.9709278045316,21.5851242601092,21.3262050117612,21.7588218212912,21.071872226235,21.5354967308796,21.9222037340593,21.3918146284121,21.9717214759763,20.8566942814486,NA,NA,21.2693117120752,21.3877399893881,21.0801230428096,21.593997580545,22.0221969164937,21.706562690982,21.7706611465169,21.288592438172,21.1811993495117,21.8576893238912,21.6329947364775,21.5597576965437,21.3557191851257,21.3376780209425,20.9456187484711,21.5062020424183,21.1403263283256,21.6181678101908,NA,NA,NA,NA,NA,NA,21.5727792722953,21.406187473916,21.1418690956362,22.0250905219715,21.3882838510696,21.4712474632422,21.7874305782784,21.1318562424532,20.9883487947957,21.7660691770502,21.3019209514622,21.1327423763578,20.967383434161,22.0293986880371,21.6979733882207,21.021108832465,21.6867482033622,22.0978209266495,21.1559534185487,21.733146526584,21.2844385196034,21.7582422085612,20.8673277218514,NA,NA,21.6878267529386,22.1275425084082,20.7476970910031,21.1141945178753,21.3190007863422
"Abcf1",20.9204598440322,21.3002200538869,21.6447329528082,21.5108592138059,21.1107900800021,21.8506324149168,NA,NA,NA,21.3030917089502,22.2389243558165,21.2603850755867,21.8332331526498,20.8040525212373,21.520919203061,21.77456108787,21.5791452367953,21.2725889925759,21.5410378093356,21.1552166400834,21.1473135368109,NA,21.3539259148421,21.0302400878273,20.9577641638096,21.7227645620214,21.5892524129237,21.1358888578747,21.4351093733442,21.5565262760416,NA,NA,NA,21.7611643768002,21.3694205655772,21.6977213949843,20.8433710668768,20.8015429932016,21.3464770785897,21.7932884387981,21.4948135953215,21.4135200400756,21.555011332409,21.4942515336858,21.0414778503359,NA,20.6641358347542,21.5376333193451,21.6656845945024,21.3316754118203,NA,21.3585470183593,21.9097401632857,21.2435091418589,21.4195769122506,21.0699757710337,20.9878253881168,21.8628913821184,20.9363076894207,NA,21.2319319738492,21.0939131839987,21.5862348701677,NA,NA,NA,21.2099489271318,21.1328822635288,21.2113719113433,21.2623601830487,21.7797567437249,NA,21.2995024168865,21.3041698678117,20.8220969831321,NA,NA,NA,NA,NA,20.7099504595956,21.1552255515015,21.2725464380792,21.4516668908261,22.0448410723193,21.6961754947304,21.8687527805458,21.7087953908684,21.7218131469719,20.9580933590064,21.2414512990414,21.7149774106947,21.8202387862904,21.6280477541633,21.1855569983117,21.0410529097459,21.0933048433401,22.1966481508788,21.1615355572078,21.1491200747706,21.2733930824442,21.7890806518885,21.005893945137,21.7581124210861,21.053839959431,21.9824999988915,21.9500419475198,21.3911046134464,NA,NA,NA,NA,22.1028271986157,21.5167453742639,20.8407430327315,21.0437750430661,21.80397799533,21.8950508799794,21.3835292412304,21.3438327148547,21.7774119784667,20.8618622642245,21.5051991097192,21.2595136948144,21.2198537991519,21.2407823584831,22.0926573124789,21.3819483642238,NA,21.4382921882433,21.7886122136751,NA,NA,21.1206934599854,21.2814728927571,20.7364063922969,20.7880788189685,21.2713545658985,21.3843989538442,21.4194585624798,21.559035769985,21.8368040492003,21.0229996989444,21.4677388572188,21.2977260716538,NA,21.117502635568,NA,21.9307020596426,21.4777639202714,21.3891636572373,20.9198664067407,NA,NA,NA,NA,21.7633434125256,21.6001538233629,21.8862615605435,21.0996013994842
"Abracl",21.3905615986169,22.0366329100832,22.5527662318227,21.3605714876249,23.1830536781462,22.3729173715295,23.2339623539459,23.1793062447431,21.3631199904907,22.1658333422035,21.0956100612379,22.5740132137806,22.9905668426846,21.4820765535678,22.5454104138617,21.6468021508739,22.2095476485911,22.1044658718529,NA,22.4645484049051,NA,NA,21.1589919673828,21.7054521164159,23.1322693245098,22.0226050260515,22.2195359878769,22.6537956080401,22.7870601569524,21.4254173553958,NA,21.9538404501552,21.6816188559034,21.7470348289911,21.7904935323392,22.9869045870833,23.2559756451409,21.6503536983907,22.0177951628538,22.2089039154625,21.9982776961348,21.9263371655466,21.6350330967793,22.1473602740037,21.8122070389879,21.8642493505992,22.6176211576813,22.5720354052359,21.7441404750052,23.0398936912533,NA,22.8506633804007,21.9504759463353,21.6365989921493,21.8663490495716,23.0793188939467,22.4010670795924,24.0512659692072,21.9281118890437,NA,22.6650488483715,22.2354776168738,22.0406437678001,NA,NA,NA,21.1096977589197,22.3775477817712,NA,23.3407519930078,21.7745563430118,23.3481778515822,21.9679868322623,21.8630119364416,23.1705095388949,22.731483349663,21.9394217226337,21.4890800223254,23.2871940169554,22.1390798152301,21.7768544182037,22.9995768757621,22.6419596064698,22.4999494499708,22.28893341674,21.4837104995611,22.4360713358571,22.7042267017573,22.1281156263227,23.2865087271583,22.939774627482,23.098127763766,21.024732829122,23.2524912309646,23.0105815455613,22.9137505418204,22.0514654847839,NA,23.4629132357983,22.6457164467503,22.4004454556024,22.1941218612605,22.7049928911257,21.9062912190036,23.1191531907044,21.1811974439628,22.6802816980624,23.0100458049276,22.9301049067145,NA,22.343152400488,22.5482333421136,21.7406991124532,23.5259279680707,22.8104579616108,21.8309864689289,21.1791061313499,22.7996735982017,NA,23.0143515082142,22.5603846181231,NA,24.0699564345646,23.2872843016078,23.9103739688194,23.1779890212846,23.5990959454565,22.3632056983666,21.8110150439076,22.2478989010196,21.9319881039558,23.1003811943423,21.5933675633415,22.935638557471,22.0630212730985,22.991489426162,23.4744281012818,22.8335069828131,21.3211590754773,23.2710030737253,23.007359858652,21.4239956061697,23.481791965281,22.989576097767,22.5161276181684,22.7648517439091,22.7681670067116,21.9220724027565,22.3146268921078,22.4321633215808,NA,22.1826579406264,22.373839656544,22.8730430194327,NA,23.1311467662657,22.512955504471,23.7772872334194,23.5398384789244,22.0665662928555
"Acadl",22.1360817709979,22.3914272776188,21.5119616974929,22.8042598048767,NA,22.7023205876858,22.9749346798174,22.9670932873893,21.7525888642977,22.1748009945476,22.155240735121,22.5712294689374,22.3296355432709,22.853802059554,21.4308472973768,22.2210221436948,22.1772640200122,22.7221674361078,NA,22.4412282191123,22.759800353318,NA,22.6502673828427,NA,22.3607023091872,22.2880353083639,21.9017686788414,NA,21.7139818032769,NA,22.6002760348823,22.081827263319,22.8076856086384,22.4988827348843,21.9485429220321,21.2672739588688,22.7329337313917,23.0362133240213,22.5072265062078,22.7996526259143,21.749476837572,22.0714938344193,22.3717752328563,21.9939326294916,22.6969142001406,22.5598202211152,21.4691062652479,22.2640052745673,21.4795896089977,22.3621428640286,23.1634614761829,22.734751507901,22.625709121911,22.5529785733277,22.5490951521194,21.8466477345516,22.3035117717551,23.1802534444912,21.6635316657103,23.0954196786261,21.9892242075333,21.5265252752392,22.5205550817435,NA,23.5523081429413,22.9326735804573,22.1478556118004,21.8537775192018,23.2903469695179,21.8681858875338,22.6403153390098,23.0789307082607,23.1977233097883,21.8674670875582,NA,22.4520509274396,NA,22.03523485898,22.8683768873071,21.7202537759145,22.529767487537,22.7338246941416,23.2564192400365,21.9383249560431,22.5503619705826,22.2260807531488,NA,22.5528242547706,22.2652879789821,22.8494936291085,22.5835274988813,22.052009485434,22.6173690675267,22.0548657418101,21.8731003903616,23.0448890192695,NA,22.5816270087481,22.5806668346324,24.1593832578006,22.3276136597509,NA,23.3017347622108,22.9389755197134,21.7285249217381,NA,22.6610152055636,22.9168422631905,22.2711626788369,21.7050839938364,22.7028634250061,22.8531507741722,22.8411964223485,21.8462074682068,22.3419154575016,22.7219403275881,22.1742431791805,22.0559521264712,22.8738275091268,21.9436718624029,23.0119552606727,NA,23.503091816617,21.7689107461886,21.9539652403787,22.2517796613146,23.8148514430831,21.8174206528478,22.3255667574242,21.92324470318,22.8476199781006,23.1790356008803,22.3222191856179,23.1776856880635,21.7157600122772,22.2691853605896,22.7991963484863,22.1929767240906,22.5205193832006,21.3180769547923,23.045758880518,22.8918150753352,22.5539306866222,21.7219760722088,22.3941738336536,22.5159034216964,23.2889263984307,22.0766580509824,22.4539986450493,22.5663700272357,23.7729301015138,22.2240116688337,22.5981210680751,21.6847391115755,NA,22.0989360739694,23.595708099094,22.2835712502836,23.0698288574803,22.6210250634099
"Acadvl",22.3041452980204,21.9221011152222,22.3121717410766,22.9484493481441,22.2283023661985,22.5227758150244,22.934733257579,22.72689566813,22.5419104839269,22.3880672284563,22.6328087410177,22.7493739501574,22.4340065431124,23.0416913148902,22.378909035419,22.7378826673852,22.4953340223007,22.145431483222,NA,21.7427528998472,NA,22.2964384224446,22.6924240801276,22.1259775899677,22.7664832024989,22.6346692578809,22.3134610692027,22.7291386941845,22.801627384992,22.9195470578616,22.5624198386508,22.3150487001808,22.8708773785518,22.4209061163609,22.1589689780786,22.5711098480912,22.4819509574601,22.9415240418285,22.5222390274026,22.4193564603337,22.4941067883865,22.485801790074,21.7980870750421,22.7860306443386,22.8481931748465,22.6502991772916,21.865245260076,22.1390118107323,22.110137610175,22.3983243841552,22.8537815029167,22.8323236137805,22.0273373456069,23.1009152095472,22.2938989302438,22.7318564578568,22.0867422839486,22.0607828873824,22.5325600856186,22.966320678574,22.6972292504645,22.6048227304821,22.9203551143447,22.4697854382706,22.3355268399938,22.8018789618332,21.9482752024217,22.7625039094412,22.9317619200926,22.1717333896362,22.2349281184933,22.6807705911958,23.0206279437797,22.4427643858796,22.2984220522452,21.9164932422297,21.8093960882551,22.4663318370206,22.2923755932319,22.3528183509939,22.0918544177277,22.3471748122096,23.0352087510492,22.5264055295579,22.6536045879188,22.4670949531915,22.2826529198776,21.7527569781141,23.0448802423929,22.1016548225417,22.2041024076447,22.4895917698263,NA,21.8577809240389,NA,NA,22.6378250544774,22.8810356297299,21.6984402481403,22.9047083510393,22.0047842747584,22.7667283627109,22.3364854127843,22.1734244051408,22.221838934198,22.0813900959256,22.4874985792576,21.7462666491038,22.2086738397696,23.0301380761026,22.1710589551837,22.6573992123099,22.6521485433003,22.2248712472343,22.9287344505948,22.4958255749159,22.1751566597474,21.8858233494353,22.7809845217343,22.3184571411919,21.902650620697,22.7050486761753,22.051132199339,23.1968335398615,22.4280046784348,22.8205447974013,22.745286152235,21.786229133837,23.0326020058847,22.3749033935282,22.360105459168,22.6541751578526,22.3052630310405,22.5669627686224,23.2431079159168,22.2448039784235,22.5084767639782,21.9843806932887,22.7873031353018,22.2710373067476,22.7222656077683,22.927443753114,22.4305374281338,21.8783731932505,22.4047815311517,22.4629456839709,22.169679605313,22.758411964198,21.7511768401462,22.4718173407843,22.1967532584181,22.2528014181061,21.7785212733421,22.7363544364001,22.5184743647171,21.9097197463067,22.2977945385083,22.5626204740805,21.6671056151931,22.3451521963475
"Acat1",22.0443185390786,23.0237429148794,22.445603161321,22.3165791243229,22.8410443000291,22.6468656778846,21.7460570757829,22.673879852526,22.2785639468488,22.7931688149233,22.173089383571,21.9238686460449,21.8720648570899,22.7671512212267,22.6291965468895,22.8882329408706,23.0940613751272,21.6986989773071,22.959057132129,22.1832042518282,22.1825941199655,22.9214802773522,22.2995169690125,22.8178228412167,21.8590415679925,22.4079096492073,22.6360143600064,22.0830640881466,22.6615249818069,22.8384158103617,22.7389088173019,22.6870925248329,22.7556464868806,23.3733073281221,22.2322032855561,22.1984564882037,22.4118944443349,23.1980889892536,22.7642729287512,22.2733419558929,23.1864212899453,21.9198081856711,22.0228550239397,22.0005310359964,22.8030673349371,22.5301324074079,22.8541388683997,22.1579203087351,22.1559528174268,22.3908590320751,23.4203750979555,22.2081284881604,23.3246355541927,22.1088082026037,21.5079740176171,22.5511224485922,22.3617321693681,22.3145211981148,21.9528888561502,22.9131700699067,22.6744685373592,22.0957445021524,22.7723825974113,22.8316870888947,22.8160457074603,22.9583514439705,22.6715315822954,22.227985612947,23.2632235224008,22.227923806532,22.6910803627274,23.0963934262137,22.6448775856666,22.5075277030613,22.5151468555423,22.2669501730922,22.3305813653489,22.5296814147669,22.7846319056685,23.0431856372214,21.9479502670265,22.8518104189998,23.0111298804623,22.8341387037781,22.3350844417425,22.5478431968434,22.363590267118,23.0804972901553,22.6982223493741,22.4128403052162,22.3115769024859,22.514497580924,22.3139779913477,22.3977641907929,23.121281849354,23.154817044862,23.3178884967499,22.3152541499493,22.3917641000931,22.4293897486418,22.17824644153,22.7604089569776,23.2877676933624,22.6870445478275,22.3149551579301,22.5132036595287,22.3353875077447,23.2571187282498,22.2210367550942,22.7640483653874,23.0085211250497,22.038651377136,22.260593991884,22.9477604640052,22.0566850478296,22.4204009685142,23.0764817285984,23.271586604305,23.1057410790997,22.6109617453663,22.0336185081866,22.9700959547308,22.6459564295261,22.7668289715354,22.549056882688,23.2132490432621,22.7932697238636,22.2326301989742,22.1428836257156,22.5759034147776,22.9841460582251,22.8338998254973,22.7604202041527,22.6060229151307,23.2047317328882,22.9177895147068,23.0602096127306,22.0902765924053,22.5351640642493,22.9804747806012,22.4671731759868,22.9427784250633,23.0896523864259,22.4972180390742,22.8096705481187,22.55748800052,22.3961276741789,22.9352642307904,22.8507053519443,22.3360867006986,23.478033446672,22.5453296705478,22.3734888092707,22.0372590581084,22.5962440301438,22.2607791427975,22.2596917749807,22.3773696004051,22.3558229657001,22.7241574250749
"Acat2",22.0575537139514,21.1708643762292,21.1641427161564,21.0389771599189,NA,21.8936980449222,21.7299464976779,20.9895121986067,20.8145164136217,20.5177162676993,21.2363172967098,NA,20.681942665412,21.9430125741589,21.2125402941828,20.6768519589518,21.9659053263113,NA,21.2667703046364,21.6911225614522,21.2833104851193,21.7656952030927,20.4528088896818,21.2291713970989,21.6764523720749,20.7444514836324,20.4370361696828,21.2260477665138,21.3345009238273,20.8034864732272,NA,21.9016724471726,21.0900858945965,NA,NA,NA,NA,NA,NA,21.3970862418837,21.403315189128,20.7363986119071,21.0764791259286,21.0549942975696,21.2417603766077,21.3944421595901,21.2893161746724,20.7393911006886,21.6076913430338,21.3880200798811,21.2718322966572,21.2040472605311,21.9098101821507,21.1734026942982,20.7469120442691,21.4061556276847,21.1677939227724,20.8188136928006,21.7728728556683,21.278390446496,NA,NA,NA,NA,NA,NA,21.6337974150446,21.6133759745086,21.4185008738285,20.9189083218247,22.1058374015321,21.6010322981118,21.5911067965691,21.2008511907202,21.1486374062625,21.5555751961013,20.773420254192,22.1242811557083,21.6973306747392,21.6563647003239,21.0197546869059,21.4964917554671,21.7150900114037,21.97302406419,21.1015742096093,21.5315298429553,21.8261563819846,21.6867308555329,21.1572763376009,21.2274623795661,22.1409177449305,21.7399497130766,20.2765304071079,21.6162887775366,22.0562385194404,21.6818357230271,21.1622936509817,21.6646959278445,22.2953913648982,21.1745914422163,21.1956763560452,21.7402233951339,21.9104771019865,21.6673487443009,21.4799796023775,21.810730569034,21.8388179432953,21.7907027520403,21.5486401558257,21.1055764058889,NA,21.583225508062,NA,NA,NA,NA,NA,NA,NA,NA,20.9641359544913,NA,22.3934185028311,21.621199608019,21.4018740576999,21.0878740456614,22.4327677794346,21.1977207667852,21.8471996510608,21.9769745755233,20.849765514555,21.5418291306199,21.5748731699463,21.7905254733399,21.8313507964078,20.6230917781396,21.6609749960954,20.8802274264214,21.6863354312854,20.9428588714626,21.0790593612433,21.7105161384605,22.5902680396266,20.7755034017213,20.9685048628943,21.3837007709071,21.7536523417252,21.3700250023133,NA,NA,NA,NA,NA,NA,NA,NA,20.7409056713237,22.0643519778522,21.319512459624,21.6487508945203
"Acin1",20.7770838135346,20.5897073465207,20.9036363492303,20.0471427160878,20.511604547608,21.0566980322515,NA,20.9314737249248,20.6959561733668,NA,NA,NA,21.0458623369956,20.6955830288372,20.5743804715584,20.6316481630554,20.7974641374751,20.2293927270323,20.932496899747,20.4714747434305,20.8082561226589,20.6107734461787,20.8382915318154,20.0078735633439,20.44678364252,20.545226256285,21.0420887001699,NA,20.7603958989378,20.4772902060948,20.6592834019248,NA,20.3088800593102,NA,NA,NA,20.7266934968568,20.5263554364209,20.6584485234224,NA,20.5079047116013,20.7902438055922,NA,NA,NA,20.7321827997765,20.7624118714066,20.4652132929366,20.1819093339807,20.8369204036694,21.1157546765887,20.7850642874035,20.7995216194576,20.4584370091147,20.6324687386457,20.6386733613054,20.6134538107773,20.6270944042778,20.6276040770374,20.4356863326226,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9761269564874,20.8025631687499,20.8002672808327,19.8978101401788,20.8188457508796,21.1841843868807,NA,20.3512183167481,20.8846522884047,21.0608988646348,20.0348737511215,NA,NA,NA,NA,20.2051717564123,20.1996138966835,20.9448898414736,21.1022077305646,20.4711098119667,20.3834204720773,21.3364572389669,20.8034610166185,20.5612345451857,20.6539105567163,19.9595995408533,20.6677235443268,NA,20.8670214953459,20.6037571927243,20.6725941353838,20.369332282547,20.3193571588377,20.2890109497508,21.0141725862003,20.4650429889149,20.8894947735897,20.7962395857871,20.7642690547291,20.9915724182215,21.0022412419976,21.2075758517768,20.445077211457,NA,NA,NA,NA,20.668581718537,20.5829680838701,20.5697136193551,20.7935629879887,20.7703689161582,NA,NA,20.4105152589893,NA,NA,NA,NA,21.2382848247717,20.7200923183531,NA,20.173787049817,20.9427053915979,20.7178638479857,20.6171769239809,20.4833076300463,21.1100122872728,20.8879165039416,20.3966210070915,20.6271956486536,21.3732125323647,20.6438951232574,20.6600410184692,20.2117467436784,20.8308533008972,20.2315510787768,20.6772676069661,20.8179702000082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acly",22.9628860936349,22.4319470491612,22.0110095478552,23.060086528618,23.1939650360657,22.4737302565357,22.5119576599764,22.4432407573826,22.5854515445155,22.2927639378965,22.5649508408547,22.733815290144,22.4063884123437,22.5754162022312,23.0364033229316,22.9582673536789,22.4556958781854,23.2859929119836,22.0840621532448,22.7717201276866,22.6052325158349,22.7694127203204,22.9028982181935,22.3341910801232,22.3128452036033,22.3016991154114,22.4828262211675,22.5960674966666,22.5286942171428,NA,22.8579299520924,NA,NA,23.1174833170066,22.184865505931,22.7506433866913,22.8076354058587,22.3619840864703,22.8572747295517,22.5642734461779,22.5533953916086,22.1137813546202,23.3088905944386,22.5416453419627,22.8971094291364,22.2899028232671,22.8283495681918,22.8453186173327,23.4592619976339,23.0958936383322,22.402030054052,22.5670514459169,23.0158340527352,22.832319280545,23.0118669138603,22.6159955157098,22.7944082380164,22.862318352543,22.3111024122874,22.2942534706531,22.6541021753435,22.9598441988165,22.1862626868691,22.640132703789,NA,NA,22.1130075741271,22.5529225560885,22.728685289686,23.2431948296324,23.1798823279571,23.1017659938417,22.9156133562639,23.0464224345496,22.4944699999058,22.7663649832124,23.6985039592348,22.9381435962992,22.8817869645289,22.9596721311679,22.9901021533628,23.2187394165368,23.3592677270509,22.9957622378688,23.0264925136812,22.9268255392301,23.7767707958684,22.7900945502506,22.5354383345495,22.5867609785399,23.1099989524829,23.3319683060752,22.6638083741456,23.1718993836628,23.1832807540476,23.1030668333101,22.9366948334699,22.5455465933753,23.0591531426651,23.1318391238026,22.8311926997063,23.1111844409486,23.2559916025219,22.9153310629936,22.727929303183,22.7193341898226,23.5426284160724,23.1582156307076,23.0905754214214,23.4875548640272,23.2534373024574,22.1426789524046,22.7379649203425,22.9718095543534,22.9373259658198,23.0228262458866,23.2105515287112,22.9493754266855,23.1202925850273,22.920905009973,22.3437869871204,23.0630219848177,23.2713615817197,23.1933272185007,22.288463667697,22.5506507900778,NA,22.9835243451764,22.5576334863758,22.8845491254084,22.861782964542,23.5197544193983,23.5038754815983,22.8985007597775,23.2479355093409,22.6022965975145,22.4151126873985,22.8343432294477,22.8590467362471,22.9449777411872,NA,NA,NA,NA,22.9280034066876,23.1210954197452,23.1218132107354,22.7295880286354,22.9056170975408,22.774403997993,23.0797777137028,22.8817831487837,22.3031217119634,NA,NA,21.9790555888727,23.5102534601757,22.7314168633165,22.9749819944909,22.8574743645941
