Protein	Protein ID	Entry Name	Gene	contaminants	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	1082192_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A1 Spectral Count	1082210_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A2 Spectral Count	1082225_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B1 Spectral Count	1082241_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B2 Spectral Count	1082252_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C1 Spectral Count	1082271_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C2 Spectral Count	1082323_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A3 Spectral Count	1082365_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A4 Spectral Count	1082452_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B3 Spectral Count	1082468_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B4 Spectral Count	1082485_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C3 Spectral Count	1082540_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C4 Spectral Count	1082893_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A5 Spectral Count	1082941_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A6 Spectral Count	1082967_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B5 Spectral Count	1083019_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B6 Spectral Count	1083071_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C5 Spectral Count	1083081_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C6 Spectral Count	1083098_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A7 Spectral Count	1083104_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A8 Spectral Count	1083111_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B7 Spectral Count	1083118_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B8 Spectral Count	1083125_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C7 Spectral Count	1083131_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C8 Spectral Count	1082192_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A1 Unique Spectral Count	1082210_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A2 Unique Spectral Count	1082225_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B1 Unique Spectral Count	1082241_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B2 Unique Spectral Count	1082252_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C1 Unique Spectral Count	1082271_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C2 Unique Spectral Count	1082323_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A3 Unique Spectral Count	1082365_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A4 Unique Spectral Count	1082452_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B3 Unique Spectral Count	1082468_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B4 Unique Spectral Count	1082485_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C3 Unique Spectral Count	1082540_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C4 Unique Spectral Count	1082893_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A5 Unique Spectral Count	1082941_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A6 Unique Spectral Count	1082967_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B5 Unique Spectral Count	1083019_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B6 Unique Spectral Count	1083071_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C5 Unique Spectral Count	1083081_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C6 Unique Spectral Count	1083098_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A7 Unique Spectral Count	1083104_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A8 Unique Spectral Count	1083111_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B7 Unique Spectral Count	1083118_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B8 Unique Spectral Count	1083125_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C7 Unique Spectral Count	1083131_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C8 Unique Spectral Count	1082192_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A1 Total Spectral Count	1082210_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A2 Total Spectral Count	1082225_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B1 Total Spectral Count	1082241_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B2 Total Spectral Count	1082252_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C1 Total Spectral Count	1082271_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C2 Total Spectral Count	1082323_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A3 Total Spectral Count	1082365_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A4 Total Spectral Count	1082452_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B3 Total Spectral Count	1082468_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B4 Total Spectral Count	1082485_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C3 Total Spectral Count	1082540_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C4 Total Spectral Count	1082893_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A5 Total Spectral Count	1082941_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A6 Total Spectral Count	1082967_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B5 Total Spectral Count	1083019_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B6 Total Spectral Count	1083071_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C5 Total Spectral Count	1083081_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C6 Total Spectral Count	1083098_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A7 Total Spectral Count	1083104_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A8 Total Spectral Count	1083111_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B7 Total Spectral Count	1083118_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B8 Total Spectral Count	1083125_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C7 Total Spectral Count	1083131_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C8 Total Spectral Count	1082192_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A1 Intensity	1082210_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_A2 Intensity	1082225_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B1 Intensity	1082241_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_B2 Intensity	1082252_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C1 Intensity	1082271_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set1_C2 Intensity	1082323_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A3 Intensity	1082365_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_A4 Intensity	1082452_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B3 Intensity	1082468_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_B4 Intensity	1082485_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C3 Intensity	1082540_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set2_C4 Intensity	1082893_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A5 Intensity	1082941_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_A6 Intensity	1082967_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B5 Intensity	1083019_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_B6 Intensity	1083071_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C5 Intensity	1083081_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set3_C6 Intensity	1083098_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A7 Intensity	1083104_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_A8 Intensity	1083111_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B7 Intensity	1083118_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_B8 Intensity	1083125_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C7 Intensity	1083131_nanoSPLITS_N2Schip_228JB4_TMT_10xplex_Set4_C8 Intensity	Indistinguishable Proteins
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	O77727	453	Ovis aries	2:Experimental evidence at transcript level	"Keratin, type I cytoskeletal 15"	1	0.999	11	3	2	64	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	4	1	1	1	0	1	8	12	7	1	1	1	1	1	6	1	1	0	1	11	0	1	0	0	0	0	0	0	0	0	0	1209788	7634613	0	0	0	0	0	0	0	0	0	1543582.6	0	0	0	
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	P00760	246	Bos taurus	1:Experimental evidence at protein level	Serine protease 1	1	0.999	14	66	66	280	1	2	2	4	3	3	1	3	3	3	4	2	4	3	2	2	3	3	4	4	2	3	2	3	1	2	2	4	3	3	1	3	3	3	4	2	4	3	2	2	3	3	4	4	2	3	2	3	5	11	8	13	14	12	5	12	13	13	16	14	13	10	11	12	14	16	16	11	9	12	8	12	169611.55	264625	339240.16	3819358	3509839.2	202759.14	3203837	918461.75	2538512.8	1045168.7	831818.94	1017988.9	1.3186728E7	743230.4	3398673	888837.1	1320909.4	680197.4	917792.6	539728	387574.88	6271944.5	886752.8	634808.5	
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		P00761	231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1	0.999	66	3139	2415	3139	122	134	113	126	146	150	90	146	151	140	155	163	148	149	146	151	162	173	159	87	66	88	66	108	98	102	91	94	112	113	72	120	116	111	120	127	114	121	110	119	125	137	122	60	49	57	45	80	122	134	113	126	146	150	90	146	151	140	155	163	148	149	146	151	162	173	159	87	66	88	66	108	1.0516127E10	1.2261204E10	1.2505588E10	1.3073841E10	1.3796476E10	1.2587348E10	1.4971917E10	1.4754918E10	1.6656174E10	1.7328333E10	2.0461677E10	1.9555727E10	2.1902572E10	2.251944E10	2.246512E10	2.048246E10	1.9091014E10	2.0920377E10	2.164247E10	1.2493575E10	1.1988138E10	1.2283724E10	1.470609E10	1.2601359E10	
sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	P02666	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	1	0.9989	3	4	4	4	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540267.1	1431266.4	0	0	0	0	0	0	2.1125652E7	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	P02769	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1	0.999	46	822	668	822	29	36	36	30	36	42	13	42	34	34	39	43	37	39	38	37	42	44	33	23	21	29	31	34	24	30	28	23	30	34	11	36	28	26	31	35	29	31	31	29	34	35	28	20	19	25	23	28	29	36	36	30	36	42	13	42	34	34	39	43	37	39	38	37	42	44	33	23	21	29	31	34	1.2911847E8	1.5809706E8	1.717493E8	1.4598856E8	1.7330933E8	1.7534766E8	1.0364393E8	1.8654206E8	1.700762E8	2.1026227E8	2.7058442E8	2.3457477E8	2.5704162E8	2.3341226E8	2.4972043E8	2.7686234E8	2.3446843E8	2.4307667E8	2.235313E8	1.2120632E8	1.1712468E8	1.5877517E8	1.5898149E8	1.7780013E8	
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	P04264	644	Homo sapiens	1:Experimental evidence at protein level	"Keratin, type II cytoskeletal 1"	1	0.999	91	773	526	828	25	20	33	17	21	20	16	23	65	124	51	31	15	16	18	22	27	26	21	15	15	113	19	20	16	13	20	12	14	11	15	16	45	83	36	21	10	13	12	15	18	20	14	9	10	78	12	13	28	23	36	19	25	21	18	25	69	127	52	33	19	20	20	24	28	27	24	17	17	115	20	21	1.2745424E8	7.0586776E7	3.4673226E8	5.75205E7	8.891342E7	7.27112E7	3.677892E9	6.984401E7	1.0060192E9	6.6881326E9	8.263147E8	1.21476504E8	7.773079E7	7.384926E7	9.317882E7	1.0190475E8	1.9484306E8	9.972181E7	1.02991576E8	6.5160264E7	6.835673E7	6.913965E9	1.00850264E8	6.8065736E7	
sp|P07744|K2C4_MOUSE	P07744	K2C4_MOUSE	Krt4	P07744	525	Mus musculus	1:Experimental evidence at protein level	"Keratin, type II cytoskeletal 4"	1	0.999	10	5	3	63	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	2	1	3	0	1	3	6	7	2	3	3	2	2	4	3	2	2	2	4	1	3	0	0	0	0	0	0	0	0	0	0	5.877771E7	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P10404|ENV1_MOUSE	P10404	ENV1_MOUSE		P10404	641	Mus musculus	1:Experimental evidence at protein level	MLV-related proviral Env polyprotein	0.9891	0.9989	3	1	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	2	1	1	2	2	1	1	2	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404630.56	0	0	0	0	
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	P13645	584	Homo sapiens	1:Experimental evidence at protein level	"Keratin, type I cytoskeletal 10"	1	0.999	77	530	297	530	12	6	66	9	8	10	3	9	64	131	45	15	8	8	9	9	18	8	5	6	5	60	8	8	6	2	36	6	4	5	3	6	33	81	26	10	5	5	5	7	9	5	1	3	3	26	6	4	12	6	66	9	8	10	3	9	64	131	45	15	8	8	9	9	18	8	5	6	5	60	8	8	3.944971E7	1.2516097E7	7.425453E8	1.9947562E7	1.8062502E7	2.2072982E7	3.2901312E7	1.8160382E7	9.023322E8	5.1453425E9	4.930317E8	3.705417E7	1.873101E7	2.0118484E7	2.9588568E7	2.029351E7	8.12871E7	1.918393E7	1.6594564E7	1.4604679E7	1.0969582E7	1.6764024E9	1.5632675E7	2.075358E7	
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	P35527	623	Homo sapiens	1:Experimental evidence at protein level	"Keratin, type I cytoskeletal 9"	1	0.999	52	339	339	359	10	11	9	10	12	12	0	12	11	11	18	16	11	14	11	12	14	14	9	6	11	85	9	11	10	11	9	10	12	12	0	12	11	11	18	16	11	14	11	12	14	14	9	6	11	85	9	11	11	12	10	11	13	13	0	13	12	12	19	17	12	15	12	12	15	14	10	7	12	86	9	12	2.3689658E7	2.262677E7	1.7290856E7	2.5978834E7	2.657694E7	2.1033534E7	0	2.4836486E7	2.7655372E7	2.9051046E7	9.8784216E7	4.1491984E7	2.6787716E7	3.9668504E7	3.2322038E7	2.8832854E7	3.8418584E7	2.9046994E7	3.204033E7	1.731761E7	5.1877496E7	3.5610202E9	3.1550318E7	2.7086002E7	
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	P35908	639	Homo sapiens	1:Experimental evidence at protein level	"Keratin, type II cytoskeletal 2 epidermal"	1	0.999	64	222	183	315	2	1	53	2	1	2	0	3	28	44	13	3	1	3	2	4	5	3	1	1	0	47	1	2	2	1	42	2	1	1	0	3	22	38	13	2	1	2	1	3	2	2	1	1	0	40	1	2	5	4	60	5	3	6	0	6	34	55	17	7	3	4	4	6	9	6	3	4	3	61	4	6	3004360	1294031.9	6.178921E8	3285695.8	1926608.8	4078105.5	0	4450651.5	1.20969096E8	4.5728218E8	9.7934936E7	3265495.2	1352445.6	8075682.5	5039962	8930873	5.0932456E7	8926017	2761857.8	5871677.5	0	6.815701E8	603542.56	3082965.8	
sp|P50446|K2C6A_MOUSE	P50446	K2C6A_MOUSE	Krt6a	P50446	553	Mus musculus	1:Experimental evidence at protein level	"Keratin, type II cytoskeletal 6A"	1	0.999	18	13	2	121	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	3	9	3	3	6	1	2	7	12	6	4	3	3	4	4	16	4	3	4	2	12	3	4	0	0	2868340	0	0	0	0	0	2443395	5864214	3754850	0	0	0	0	0	6.3150944E7	0	0	0	0	1.4894111E7	0	0	
sp|Q3UJP5|CF418_MOUSE	Q3UJP5	CF418_MOUSE	Cfap418	Q3UJP5	209	Mus musculus	1:Experimental evidence at protein level	Cilia- and flagella-associated protein 418	0.9999	0.999	2	3	3	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	191138.08	0	284614.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360068.12	
